167.103.115.102:8800 | 0.34s
185.135.69.34:80 | 0.57s
129.226.93.232:80 | 0.60s
23.88.88.105:80 | 0.63s
113.160.132.26:8080 | 0.66s
12.50.107.221:80 | 0.77s
167.103.34.108:8800 | 0.71s
141.253.118.174:80 | 0.77s
78.11.96.22:8888 | 0.84s
194.71.227.149:80 | 0.90s
102.223.9.53:80 | 1.14s
8.212.177.126:8080 | 0.40s
12.50.107.220:80 | 0.61s
194.102.38.65:80 | 1.31s
167.103.34.108:8800 | 0.50s
170.64.170.204:8080 | 1.42s
200.85.232.91:3128 | 1.61s
4.213.167.178:80 | 1.65s
34.44.49.215:80 | 0.60s
193.43.159.200:80 | 1.73s
172.200.72.48:80 | 0.56s
200.174.198.32:8888 | 2.05s
5.104.87.17:8050 | 2.08s
45.146.163.31:80 | 0.79s
133.18.234.13:80 | 0.74s
192.73.244.36:80 | 0.60s
150.107.140.238:3128 | 2.37s
51.141.175.118:80 | 0.73s
147.161.210.140:8800 | 0.80s
8.213.128.6:10001 | 2.52s
48.210.225.96:80 | 1.49s
12.50.107.219:80 | 1.86s
23.88.88.105:443 | 1.12s
104.248.211.46:7890 | 3.22s
5.104.87.17:8051 | 3.61s
120.92.108.86:7890 | 1.88s
147.161.210.140:8800 | 0.56s
142.93.202.130:3128 | 0.74s
154.65.39.8:80 | 3.34s
109.236.88.82:80 | 0.77s
185.41.152.110:3128 | 4.49s
185.187.92.42:80 | 0.49s
78.11.96.22:8888 | 1.05s
1.231.81.166:3128 | 2.82s
167.103.115.102:8800 | 0.37s
147.45.214.210:1080 | 1.95s
149.51.42.10:3128 | 0.82s
4.213.98.253:80 | 0.89s
167.103.144.127:8800 | 0.71s
151.236.24.38:80 | 0.98s
74.176.195.135:80 | 1.25s
91.132.92.231:80 | 0.80s
162.240.154.26:3128 | 1.20s
178.212.144.7:80 | 0.56s
124.108.6.20:8085 | 0.83s
103.70.114.80:8080 | 5.09s
212.47.232.28:80 | 0.85s
1.231.81.166:3128 | 2.46s
116.80.63.194:3172 | 3.76s
183.110.216.159:8090 | 4.51s
123.30.154.171:7777 | 1.15s
185.235.16.12:80 | 1.24s
212.231.191.23:80 | 4.11s
194.176.185.191:80 | 0.45s
149.248.215.39:8081 | 4.26s
147.161.239.240:8800 | 2.37s
40.89.145.14:80 | 4.68s
181.78.49.177:999 | 4.76s
52.229.30.3:80 | 0.73s
149.51.42.10:3128 | 0.73s
20.127.128.70:8080 | 1.90s
162.240.154.26:3128 | 5.14s
194.102.38.53:80 | 2.16s
174.138.119.88:80 | 1.05s
80.74.54.148:3128 | 1.92s
2.27.8.54:1080 | 2.40s
159.223.225.118:8888 | 2.03s
103.242.104.209:8080 | 7.33s
5.104.87.17:8051 | 3.47s
12.50.107.217:80 | 5.66s
